Attendance,Internal Marks,Class Participation,Academic Activities,Sleep Time,Study Time,Final Marks
71,33,41,49,65,84,59
95,93,74,35,98,88,90
79,50,93,100,53,71,93
57,38,58,35,63,78,49
77,53,71,70,98,81,95
83,50,66,81,88,94,88
92,68,65,91,34,34,94
48,38,94,96,31,51,85
48,71,52,49,89,31,32
95,64,36,72,79,58,89
44,41,100,71,86,55,85
98,95,99,77,96,92,87
78,76,57,61,76,48,54
96,60,51,55,45,77,81
79,92,77,49,54,69,84
43,81,51,100,35,73,97
91,75,36,89,73,38,80
100,89,74,75,67,70,93
69,100,90,36,100,74,94
83,31,78,39,96,88,95
77,91,38,65,86,98,81
71,62,30,32,63,88,49
51,83,96,56,93,54,95
94,55,41,94,94,85,93
45,49,67,91,63,99,99
91,72,57,38,97,44,98
76,51,54,83,96,80,99
86,92,56,46,100,49,97
60,38,84,99,99,31,90
95,52,97,94,75,61,99
75,90,71,47,82,32,89
68,63,68,90,77,99,94
30,53,73,68,46,65,59
67,95,93,64,62,71,85
92,84,62,86,39,51,48
96,42,35,63,97,44,99
45,46,76,39,41,35,34
96,100,100,66,95,36,62
99,43,38,97,45,61,85
88,89,88,41,37,48,38
39,32,88,41,38,35,36
95,85,79,68,95,33,100
68,68,32,52,40,85,76
42,33,92,34,70,75,50
30,80,51,86,94,64,50
46,69,36,42,41,74,73
73,72,70,73,76,48,49
90,63,65,91,93,83,78
99,98,98,93,44,72,99
39,43,30,34,70,37,53
96,53,93,50,71,72,42
95,87,89,58,63,60,58
99,60,73,68,97,94,94
62,51,67,85,33,52,73
74,41,74,40,59,31,72
50,30,93,35,48,100,88
55,96,32,38,92,78,60
70,47,86,85,85,98,85
50,94,35,97,45,31,96
46,55,34,56,38,95,30
35,35,43,81,43,43,43
43,62,83,82,68,70,52
86,43,82,43,53,48,54
30,66,61,81,40,40,74
92,91,52,46,51,95,98
84,68,90,97,97,57,86
89,73,37,91,94,80,95
98,79,56,63,70,34,99
35,77,67,97,65,66,86
99,81,57,55,33,94,66
50,57,73,41,99,84,56
85,100,57,61,50,32,89
41,34,72,56,83,99,61
73,64,51,91,37,31,32
39,49,42,50,90,68,56
85,37,78,58,62,61,30
85,95,51,31,96,75,99
83,76,58,31,94,94,79
64,50,82,41,58,61,30
97,60,40,44,53,54,37
46,69,99,94,92,92,94
90,61,41,72,49,64,78
89,70,63,32,43,100,52
63,91,99,87,41,86,94
39,95,52,83,58,67,66
97,40,81,83,54,97,89
75,46,65,48,32,67,66
81,74,39,31,96,57,100
75,55,37,49,33,94,47
43,67,83,42,100,65,96
37,59,55,39,61,99,54
41,68,68,30,71,52,55
97,41,35,51,93,59,100
54,96,77,83,62,38,74
34,57,46,88,69,96,92
98,31,90,70,82,96,92
45,34,55,98,48,55,92
100,41,98,56,70,47,89
43,69,33,71,30,91,36
100,94,100,43,63,41,100
79,93,92,89,34,36,79
50,32,35,34,35,70,43
50,52,37,67,96,58,92
66,40,48,65,89,47,53
78,41,60,32,90,72,95
56,51,91,91,53,56,85
74,94,96,92,62,65,86
44,62,38,91,79,35,76
50,67,98,95,54,93,86
43,50,91,82,67,33,54
97,31,64,62,67,88,96
41,72,33,43,62,92,31
88,75,53,30,84,38,40
72,85,47,53,69,91,95
64,42,95,46,87,36,88
95,91,44,85,95,44,33
85,69,97,82,41,41,94
94,57,71,75,61,41,85
42,32,60,88,69,78,49
63,81,94,95,60,51,88
56,47,84,53,97,88,91
38,40,90,85,46,91,85
48,95,31,78,67,76,40
96,89,65,74,34,100,95
34,30,91,44,67,64,84
77,46,40,59,90,52,53
96,58,33,86,94,46,97
57,66,55,96,81,65,89
59,99,97,88,77,37,85
66,97,88,81,72,30,43
88,96,47,95,100,40,97
58,53,86,68,54,60,70
32,36,98,46,32,91,33
97,43,81,36,35,95,37
100,47,43,83,50,95,91
72,47,93,62,61,51,76
78,69,97,63,86,98,91
55,89,39,92,61,53,91
52,80,95,98,40,91,71
53,99,38,85,32,75,95
30,59,70,48,32,73,33
61,63,58,92,95,32,89
67,71,66,96,98,56,100
91,59,37,78,38,81,85
52,78,48,39,91,45,45
34,64,83,96,60,35,98
51,65,49,74,38,57,43
97,89,49,75,74,65,62
63,72,85,48,86,94,38
45,57,70,91,90,34,37
35,40,66,65,40,30,39
64,62,63,72,62,57,73
49,56,35,60,32,52,69
73,76,66,96,30,85,85
54,94,53,43,62,37,99
85,89,69,76,92,33,79
90,74,42,34,67,38,89
57,96,54,96,74,83,97
39,38,85,61,59,77,80
64,86,92,83,79,64,86
35,74,88,67,51,42,64
93,50,48,98,97,97,88
59,90,95,48,100,60,85
40,34,75,34,43,62,51
42,61,40,95,65,34,74
37,90,69,86,89,71,100
72,99,31,96,67,99,75
93,69,56,100,53,90,92
32,75,84,52,32,88,60
48,62,62,78,99,76,91
58,38,96,79,98,100,85
47,86,83,98,60,93,90
63,92,58,44,54,73,31
95,35,78,86,32,54,47
69,66,100,97,90,55,88
100,40,53,37,94,71,90
78,33,86,90,66,91,91
30,84,31,47,68,90,87
35,95,97,48,50,97,86
41,47,35,33,86,71,73
93,31,74,95,98,85,63
76,37,81,92,64,66,87
70,91,37,61,43,38,52
33,31,51,95,44,68,75
60,66,36,36,59,97,68
66,40,41,47,79,38,41
67,96,46,85,32,81,98
76,79,44,96,36,78,52
57,100,98,67,83,98,86
70,55,63,80,59,100,77
69,90,50,37,32,75,54
39,53,49,68,49,72,82
57,92,74,41,68,71,59
100,47,43,64,42,43,63
71,49,43,75,74,71,55
46,55,37,50,62,49,32
59,93,36,48,91,65,89
67,89,44,98,100,92,44
93,99,65,71,100,53,99
43,90,60,41,45,94,83
31,33,49,95,92,42,85
100,95,70,87,97,38,59
32,90,95,33,71,83,85
31,87,70,32,68,47,39
65,33,32,97,85,61,85
59,61,48,41,31,75,40
52,30,59,97,81,86,91
61,50,54,72,72,38,80
49,48,45,34,53,51,62
96,54,70,30,99,90,87
91,89,81,68,94,71,97
79,77,79,78,55,96,86
38,52,59,34,69,89,81
33,51,49,94,55,88,99
89,46,67,89,88,94,91
60,33,80,48,89,35,57
64,90,34,49,70,41,30
39,32,38,98,45,78,98
91,58,68,60,36,30,32
55,54,91,41,83,93,88
44,35,68,32,100,60,77
49,38,82,46,97,100,99
92,87,74,87,79,66,92
79,55,77,77,85,38,59
52,85,87,60,93,35,87
70,94,41,67,74,85,37
82,97,99,81,97,77,86
88,59,100,60,96,86,59
89,89,96,50,96,97,87
70,98,88,67,63,91,89
49,83,34,91,63,55,34
66,95,65,94,68,68,94
89,63,71,84,46,31,79
60,76,63,97,58,98,100
48,44,32,100,51,95,50
56,63,49,88,96,79,31
46,78,59,51,64,31,30
65,82,84,93,36,39,57
76,92,42,57,48,38,44
99,89,64,46,58,52,95
50,94,99,56,96,71,87
32,52,32,58,84,81,44
75,60,81,52,49,88,37
42,97,31,68,42,65,51
77,41,90,90,51,55,43
62,35,46,66,42,42,41
96,90,95,100,46,44,93
31,97,32,100,80,75,100
43,78,36,86,90,58,87
98,64,100,41,49,52,32
54,83,49,72,49,66,61
61,34,61,65,56,98,86
72,73,99,88,74,91,81
73,61,53,94,100,31,72
64,92,49,82,37,47,37
47,80,73,72,35,95,33
64,53,68,41,75,75,74
84,35,91,33,93,78,94
66,43,60,95,60,56,72
41,92,86,75,40,92,98
34,63,37,38,63,98,60
88,54,62,100,50,78,92
37,48,40,50,39,100,45
33,82,30,51,67,32,38
77,67,53,56,61,93,70
70,36,96,92,67,70,95
33,42,95,35,94,98,37
38,34,58,34,70,70,78
38,71,63,87,95,67,85
32,99,62,67,56,68,87
98,74,67,54,90,54,86
34,62,50,92,68,39,88
96,85,45,47,89,44,89
42,89,72,46,39,67,68
62,93,66,38,68,48,33
53,51,49,35,94,70,37
77,47,96,43,47,33,34
74,81,75,81,82,61,84
97,46,58,99,98,60,61
90,95,42,76,49,74,91
40,93,34,95,32,91,94
96,89,97,84,64,69,98
40,75,73,95,33,78,83
90,97,68,46,94,92,34
49,87,94,79,46,38,48
63,71,75,41,56,31,31
46,40,72,99,37,36,82
33,95,38,61,98,99,89
68,97,92,88,61,77,73
62,34,81,95,96,62,98
35,76,90,99,67,34,96
98,91,75,73,66,50,96
45,70,53,53,43,76,57
90,58,82,75,73,40,80
50,47,48,84,38,71,52
71,96,67,43,84,47,81
47,72,32,33,33,42,45
100,95,91,85,37,65,92
52,97,71,97,94,66,93
90,95,51,90,65,92,100
99,69,100,36,72,51,91
63,97,77,77,42,94,89
42,90,38,100,70,71,63
37,32,53,99,59,46,94
42,66,82,100,67,68,92
47,32,53,94,31,55,95
59,70,50,55,87,41,32
79,89,46,92,70,44,85
80,39,50,43,48,69,42
50,67,40,99,98,72,87
85,48,75,90,43,35,52
41,88,69,73,36,32,52
99,61,73,54,73,100,100
100,77,62,89,49,99,82
97,98,72,63,53,71,88
39,91,55,39,46,37,60
40,99,77,79,86,68,97
76,98,66,91,49,97,97
45,64,94,47,61,63,98
71,95,62,41,99,31,92
59,100,88,35,34,91,36
63,75,73,58,90,98,91
97,100,45,50,52,83,94
71,37,40,32,89,45,58
42,47,39,43,100,74,74
75,35,69,88,49,91,90
51,82,92,87,54,52,67
35,47,94,96,39,58,89
72,57,88,87,78,35,69
95,43,76,60,63,56,90
49,98,56,37,91,92,45
77,32,55,95,88,100,96
43,93,34,60,92,96,85
77,38,36,91,30,73,32
39,81,59,100,94,56,80
34,44,87,100,100,67,94
36,85,99,32,86,87,95
90,46,39,65,38,100,86
99,80,51,61,41,41,85
59,53,30,64,40,57,33
71,88,81,36,79,54,66
36,86,80,71,50,78,36
41,45,86,30,43,53,33
94,53,40,46,89,78,100
54,97,96,64,38,64,97
51,99,59,85,43,96,91
44,71,92,65,82,55,91
82,80,99,31,100,69,99
37,70,80,37,53,72,48
90,91,55,55,86,70,94
60,73,45,90,75,34,94
98,74,91,67,44,66,66
42,65,48,35,49,43,47
54,74,80,37,71,41,67
85,91,66,46,40,33,88
37,31,30,81,45,100,42
87,51,59,48,96,97,98
41,40,62,61,88,68,46
94,71,44,93,55,55,96
90,93,39,66,54,37,96
57,59,94,94,64,59,96
46,100,33,62,44,34,49
96,59,76,97,44,84,64
44,85,46,42,80,42,78
87,80,52,49,100,89,94
86,62,82,42,36,86,54
77,34,90,77,77,54,86
71,92,93,94,53,66,93
97,48,91,90,97,42,96
77,38,35,61,83,89,36
34,41,91,100,99,100,96
67,42,54,36,64,92,98
94,46,62,33,77,99,52
69,75,35,38,50,57,33
44,77,77,88,93,49,95
81,91,92,38,97,62,35
33,63,50,75,34,99,33
79,55,69,54,30,77,82
37,88,70,65,63,36,82
86,66,95,44,75,77,63
86,61,40,31,86,38,79
55,66,31,55,69,71,63
39,42,83,52,69,98,100
48,100,80,51,62,60,44
52,47,69,44,99,45,76
51,44,35,51,77,55,84
92,78,79,100,94,63,99
97,39,81,47,55,78,93
56,62,87,91,92,38,97
95,91,86,61,79,59,99
100,51,88,46,33,48,63
76,72,94,88,41,30,50
84,44,45,33,75,96,69
44,97,35,83,56,48,91
50,83,64,66,43,62,34
98,57,90,68,41,83,96
82,34,83,78,75,90,94
58,90,87,68,48,86,70
49,71,87,90,83,55,89
77,38,78,55,44,56,38
96,48,78,80,57,32,35
93,92,38,86,64,90,64
50,35,93,100,44,100,54
93,50,64,70,96,88,89
54,97,83,47,98,80,86
31,41,60,33,46,42,75
69,79,38,66,74,36,47
63,54,36,98,31,68,46
30,45,49,90,77,65,36
66,76,82,51,37,75,76
95,81,77,84,70,92,92
100,57,38,37,96,63,92
100,78,67,98,80,84,97
30,100,89,51,67,73,90
99,34,63,79,41,85,52
42,73,55,56,81,40,71
39,92,81,90,91,41,99
86,46,58,86,42,96,45
49,100,51,85,50,99,36
95,61,61,77,33,58,56
88,100,100,69,47,46,87
87,92,30,62,100,37,99
66,73,30,59,98,92,45
40,33,37,60,90,94,95
49,64,98,42,81,64,95
84,44,64,37,30,60,45
64,31,62,79,99,40,66
46,43,47,93,33,33,43
35,42,64,41,34,41,38
95,65,98,49,93,97,92
31,86,34,37,54,83,73
56,73,64,31,91,43,63
63,50,42,31,68,89,36
44,93,77,39,61,78,87
78,73,78,49,97,38,57
80,50,82,69,89,68,53
86,73,80,72,49,97,93
82,82,71,93,97,67,94
82,59,65,85,100,48,97
91,95,43,35,59,35,78
50,91,91,81,58,94,93
99,52,73,41,84,37,96
81,61,49,49,82,34,30
94,69,37,39,32,75,98
91,73,76,88,76,37,32
74,33,31,76,83,78,39
85,90,38,48,43,52,54
87,88,34,61,97,47,52
78,45,57,36,36,93,36
77,92,57,92,91,86,98
46,87,79,90,52,68,89
79,90,61,39,90,69,96
88,77,73,41,87,60,45
100,74,100,67,51,86,96
96,34,61,40,99,63,97
83,94,40,99,34,94,93
58,38,37,41,58,56,83
87,50,71,95,87,49,99
97,56,86,35,83,56,91
51,71,83,99,62,38,70
35,58,31,97,36,85,56
92,87,34,88,96,62,58
31,96,57,32,98,75,98
97,95,88,70,75,84,85
55,69,72,97,94,93,90
48,52,94,40,82,44,93
31,97,62,34,56,84,73
96,48,75,93,68,76,63
31,63,50,47,38,85,30
88,85,57,76,80,72,68
93,40,50,80,84,60,30
39,59,96,39,79,79,55
76,86,91,84,63,33,87
71,30,94,85,92,55,90
81,41,35,34,40,94,89
37,92,90,36,60,81,100
71,94,69,65,99,70,88
76,99,38,51,64,79,87
39,58,86,62,33,69,80
68,90,51,63,40,98,100
33,43,77,81,92,88,57
67,30,80,90,63,100,90
68,64,32,87,91,76,93
94,55,32,41,70,50,95
73,90,40,58,66,87,64
49,93,33,42,37,83,90
73,38,96,97,68,75,100
54,94,78,94,77,68,98
79,49,85,98,81,53,86
37,98,94,74,84,36,74
86,53,63,40,92,99,92
95,77,69,80,67,100,88
76,41,64,90,45,73,94
40,98,33,52,38,43,33
31,58,52,94,51,68,83
90,71,62,69,62,97,97
47,44,44,92,70,49,97
37,98,30,100,85,46,50
91,50,99,30,75,87,90
52,53,92,87,46,94,100
33,78,32,35,98,62,43
42,45,89,33,73,76,70
34,89,48,63,89,36,81
54,67,50,40,62,100,96
66,41,32,92,35,59,91
39,95,99,49,63,61,100
79,95,65,99,53,31,34
77,30,41,93,67,57,100
91,48,34,52,90,59,95
76,46,99,86,58,66,99
79,52,51,92,43,44,59
42,98,47,97,61,30,89
53,59,58,37,58,67,83
43,32,75,100,32,38,99
38,57,48,97,34,66,85
98,69,99,38,75,36,89
56,62,50,82,85,41,66
59,57,85,97,44,36,51
57,32,35,37,93,39,48
43,64,90,93,54,100,88
87,80,49,55,71,61,54
43,46,83,63,93,96,95
89,53,77,33,72,91,97
62,35,73,40,30,67,30
81,74,94,35,32,97,90
49,43,65,97,43,94,68
88,81,100,67,30,89,98
88,57,35,88,78,71,83
44,87,40,73,90,74,41
62,50,46,99,48,40,32
96,56,59,42,90,54,99
39,94,80,51,73,42,89
96,70,37,64,80,74,96
91,99,67,69,92,41,90
100,48,75,32,89,36,87
64,46,44,96,100,82,95
38,89,87,94,42,75,35
82,44,45,33,49,93,41
30,59,59,48,48,99,92
82,98,46,61,79,62,91
93,89,68,95,42,70,86
76,41,85,96,64,58,87
91,99,66,49,72,92,93
90,32,57,51,74,55,71
88,75,65,37,38,39,50
67,80,58,90,100,77,72
97,42,99,73,32,32,93
69,97,53,57,83,92,96
94,35,78,60,59,100,90
100,50,60,90,53,79,93
72,47,100,85,83,34,56
97,87,87,91,49,36,75
42,99,90,65,48,31,38
45,72,35,49,78,95,86
52,88,83,100,31,58,61
90,56,56,53,50,56,65
32,71,88,43,81,85,41
85,99,62,69,38,86,39
66,84,31,43,62,47,79
88,80,58,32,56,95,97
40,32,50,73,71,72,53
31,83,92,32,85,33,41
93,45,66,94,33,72,38
65,53,59,94,38,90,84
41,90,44,41,94,31,48
77,64,58,68,91,92,85
79,99,56,33,31,84,83
98,43,53,83,72,32,33
61,84,58,59,80,92,87
32,89,58,48,86,35,72
69,67,80,91,95,98,85
45,99,84,35,90,37,35
92,75,47,100,75,72,88
97,44,48,99,30,74,100
99,39,73,31,99,40,95
95,77,47,68,45,47,80
41,68,37,77,64,33,49
50,66,35,79,76,51,83
80,68,39,94,40,84,48
41,39,84,92,39,73,36
88,70,31,91,32,97,89
52,43,91,90,100,35,89
91,68,89,92,96,78,81
82,94,44,49,38,60,38
56,52,62,91,62,41,70
70,63,97,85,60,83,97
89,61,34,88,74,74,67
98,83,75,49,42,33,97
49,73,90,95,31,93,86
35,39,97,99,96,87,97
66,46,50,68,94,32,82
87,100,35,32,99,87,96
47,46,71,88,81,46,44
77,95,45,96,32,97,87
80,75,74,54,98,60,96
62,63,36,99,41,38,84
95,56,36,95,81,72,98
87,61,42,38,59,90,94
57,50,44,50,98,78,75
92,35,45,45,44,92,89
60,31,97,90,83,71,95
76,68,58,80,45,98,73
53,58,61,99,74,91,83
95,94,53,82,92,42,90
88,80,57,45,59,49,43
100,70,96,80,32,62,99
56,72,43,92,74,45,58
65,45,61,64,64,34,61
91,41,41,90,89,89,88
92,91,100,36,48,38,96
67,95,30,32,42,80,51
37,44,71,82,92,52,40
40,67,95,39,40,83,64
79,67,88,55,92,49,53
66,88,34,75,48,71,68
93,90,53,37,56,43,87
92,30,44,62,41,32,40
98,95,66,91,67,89,85
32,42,86,44,85,90,100
49,46,93,61,63,36,95
89,62,89,71,45,70,61
76,99,80,83,80,33,87
93,33,94,64,36,60,100
92,55,54,76,98,75,96
92,45,93,84,40,90,85
52,95,44,50,84,99,85
44,64,64,74,62,76,77
33,53,91,33,73,69,67
79,72,31,38,87,30,50
50,50,40,65,54,45,50
61,78,37,85,84,65,73
95,76,98,35,82,89,86
35,89,57,91,88,83,91
65,81,75,48,32,93,52
96,57,42,81,78,32,80
90,87,50,31,38,80,37
50,92,91,49,68,96,66
33,49,92,45,91,36,84
79,67,94,74,75,67,83
32,81,81,70,35,59,54
100,71,40,68,88,83,91
57,50,94,47,89,45,45
43,71,69,85,85,50,44
49,48,91,43,99,39,46
87,93,44,96,91,99,42
76,77,83,32,69,81,44
43,93,94,54,99,81,98
32,85,65,98,53,95,33
35,59,67,39,39,58,38
50,96,39,99,38,92,57
33,67,69,43,66,32,43
46,42,57,60,56,43,84
50,72,40,36,81,94,73
43,45,52,92,93,91,39
59,48,49,52,85,73,70
61,52,70,51,90,40,87
83,52,84,52,89,32,74
47,100,45,40,86,77,46
97,77,54,73,100,82,99
47,90,85,87,66,92,99
51,62,44,99,33,31,54
62,36,54,52,77,97,92
38,94,64,85,96,80,86
39,82,43,80,43,92,98
83,98,83,72,47,96,79
54,97,97,34,78,98,100
32,86,58,63,100,82,99
57,98,50,37,74,32,71
82,47,89,54,99,72,99
97,46,86,42,94,71,98
44,61,54,46,43,68,44
92,81,60,72,48,70,78
50,42,38,42,33,91,90
74,65,83,46,95,37,83
79,43,47,58,85,39,52
40,36,47,78,56,99,94
96,61,89,37,57,42,99
53,91,40,69,64,36,78
94,57,32,95,33,86,35
37,33,92,33,44,96,44
78,95,50,74,84,50,92
95,99,52,53,71,70,92
33,47,93,38,49,35,79
34,65,55,51,50,94,52
77,46,78,57,78,92,89
59,91,63,71,74,37,100
81,36,63,73,70,43,34
94,76,59,87,47,35,53
93,41,84,31,100,86,72
71,77,30,40,66,30,72
38,32,60,32,72,63,41
55,86,100,39,97,99,94
34,98,60,99,46,79,99
99,31,66,100,61,54,86
88,88,52,95,65,43,95
100,83,92,31,100,43,91
47,86,85,92,51,54,100
95,51,72,80,37,86,97
90,100,100,42,89,41,91
43,83,88,95,51,52,44
36,74,54,93,95,93,92
90,94,93,52,49,82,61
94,81,99,82,65,56,95
91,42,95,64,87,68,98
75,34,46,47,60,49,31
94,87,74,92,74,97,89
66,51,52,95,78,82,92
76,70,49,39,100,81,40
56,91,84,69,100,40,96
37,51,65,94,48,88,98
73,99,53,54,61,64,82
59,63,73,58,86,72,74
79,64,53,95,46,58,77
70,43,31,83,92,67,94
77,86,54,31,76,31,39
49,83,66,75,30,90,72
61,82,52,62,96,82,92
67,58,37,35,79,57,83
78,50,53,53,50,57,73
93,56,96,72,84,98,89
46,90,78,99,66,96,95
65,100,76,59,95,52,86
97,79,67,41,93,69,94
55,38,65,41,74,45,42
50,88,77,51,97,50,99
84,92,85,32,77,100,91
39,33,39,46,54,96,35
57,71,94,67,87,35,99
54,59,84,78,46,90,59
100,89,83,79,44,63,38
35,93,87,41,76,99,100
57,31,95,38,40,92,91
92,35,92,36,53,94,42
51,53,83,97,33,88,46
94,90,57,62,68,85,90
32,68,45,42,46,71,38
40,67,68,63,60,30,72
50,30,95,61,40,75,79
88,97,48,42,75,99,94
83,94,87,37,62,93,71
85,57,48,47,67,98,85
31,43,76,41,97,90,93
100,64,80,97,75,46,47
85,59,51,100,45,59,57
38,72,58,52,33,36,43
39,52,94,96,94,58,44
92,65,98,64,96,92,73
68,56,68,93,64,39,96
33,83,35,98,50,78,94
66,70,52,86,78,54,70
31,31,65,31,50,96,76
56,61,50,97,86,58,85
90,40,48,68,50,94,58
35,43,70,46,85,43,36
44,31,43,67,95,89,83
53,61,37,74,32,90,88
31,45,86,85,93,60,87
43,46,98,60,56,63,90
54,78,59,34,47,78,68
98,63,65,68,36,53,100
70,37,65,77,75,44,55
94,99,59,69,70,63,56
92,85,93,94,77,59,89
30,94,35,94,45,57,36
58,57,99,85,69,49,85
57,65,46,69,30,76,53
62,31,45,98,53,38,93
46,70,42,65,67,32,75
98,44,93,98,42,91,92
61,97,88,38,78,80,80
96,43,77,96,63,100,100
71,99,93,91,45,72,90
51,61,92,35,52,32,53
54,51,70,91,48,90,70
30,77,54,60,32,46,41
60,43,85,53,55,92,38
89,67,98,37,73,60,95
51,59,88,90,32,50,90
74,39,98,35,68,60,52
63,43,95,100,59,63,52
95,50,40,73,76,41,92
99,91,63,37,92,37,86
68,94,82,59,52,57,98
75,55,90,99,77,96,78
61,31,96,37,42,70,54
81,71,70,50,66,34,50
49,84,62,52,76,34,36
78,97,48,73,70,90,64
94,41,68,99,39,82,100
53,45,78,93,64,47,55
93,37,69,94,42,76,86
80,90,92,82,64,87,87
59,45,43,59,92,41,88
53,45,55,87,56,64,66
95,58,38,43,37,32,44
52,47,56,66,82,68,74
90,40,81,87,61,41,81
43,61,98,33,47,85,49
40,84,46,47,88,46,81
79,41,42,82,50,99,91
40,97,55,54,53,60,36
37,90,100,30,93,39,61
80,96,34,99,51,48,95
33,64,76,67,87,93,76
64,92,34,98,51,41,92
39,67,89,37,51,95,91
84,85,98,96,40,61,89
98,74,42,97,46,54,85
36,38,48,48,31,95,45
82,53,38,98,35,38,40
75,70,66,97,54,82,77
86,97,67,78,50,73,75
90,63,34,52,34,67,31
37,66,32,40,65,95,85
71,70,74,76,95,66,86
98,75,83,51,35,94,87
51,71,41,100,41,99,94
58,39,43,78,83,32,30
37,88,94,56,96,66,48
35,36,33,88,95,80,99
30,93,55,63,64,39,57
76,41,32,82,97,52,47
45,41,85,31,95,39,47
44,91,45,35,79,40,30
100,57,34,88,96,76,38
44,89,55,76,79,81,57
53,93,46,100,59,97,94
96,91,44,90,62,36,49
94,93,35,100,32,92,34
98,78,98,32,98,59,86
53,68,97,95,72,47,89
92,32,63,41,38,56,76
56,64,35,78,34,95,30
72,44,38,38,83,71,32
79,83,71,34,40,89,53
47,67,71,34,43,91,79
79,93,87,35,95,52,92
71,74,36,96,47,91,93
86,60,96,46,46,46,50
66,37,85,59,90,47,77
91,33,90,94,50,33,97
72,94,90,98,96,79,88
79,67,50,98,85,55,39
57,78,48,33,61,79,63
32,35,96,62,94,59,86
86,75,87,95,65,70,85
31,80,65,54,94,73,85
91,95,57,31,83,44,87
81,68,46,94,79,83,98
42,97,63,57,33,59,45
32,84,57,66,57,89,76
88,40,65,97,54,61,69
32,76,33,87,47,68,36
52,92,92,84,97,37,85
65,46,88,32,60,84,78
87,91,51,70,43,83,64
84,94,66,43,38,41,39
36,38,69,72,33,80,52
70,43,81,49,41,41,75
68,36,91,60,98,43,90
46,88,45,96,71,51,72
84,54,43,100,63,32,70
50,41,49,44,53,32,75
63,73,84,55,45,77,56
82,31,47,99,79,70,69
42,37,71,88,45,67,31
54,62,49,60,45,32,44
46,71,95,57,55,99,89
56,39,82,32,56,88,67
33,60,100,50,41,76,32
77,39,56,78,95,91,93
86,99,53,32,100,48,95
41,33,63,59,71,46,41
71,96,97,60,53,49,64
45,32,38,63,40,90,76
34,82,48,92,39,31,38
41,86,91,47,74,33,94
39,86,67,86,90,39,78
77,91,56,39,53,93,93
59,80,34,89,75,98,52
38,61,90,75,40,63,70
69,90,48,69,47,49,61
65,36,53,98,54,97,88
45,60,67,34,41,73,78
100,94,60,88,91,36,36
80,42,94,56,69,80,49
61,98,82,57,30,98,57
99,91,36,44,86,92,96
94,45,41,89,69,43,31
98,47,98,77,69,83,92
38,62,34,35,37,84,56
59,97,41,97,76,98,93
92,99,95,78,39,100,89
92,30,77,98,68,40,99
76,64,46,92,56,90,94
97,38,57,46,69,41,87
43,72,72,91,32,97,48
80,46,42,92,60,100,82
90,43,36,78,85,30,80
72,51,80,59,96,92,99
90,94,32,89,57,38,86
63,43,39,50,40,90,97
67,54,91,33,74,44,99
89,85,59,90,74,56,66
35,77,86,96,70,52,45
80,94,61,35,84,67,67
82,90,100,37,99,34,95
50,54,90,39,89,88,87
41,91,46,71,84,87,48
40,88,56,93,39,71,93
52,96,70,65,43,100,100
65,33,57,40,54,86,80
82,44,60,70,74,87,76
73,94,76,90,61,86,72
37,54,37,83,93,80,47
78,53,31,88,71,78,50
97,68,63,79,74,77,93
50,91,51,43,71,43,68
51,85,76,79,31,100,94
46,39,33,76,33,62,36
54,69,92,33,43,39,31
37,96,70,63,47,32,100
53,62,66,93,64,39,56
34,60,50,56,92,40,30
99,73,95,75,75,64,97
31,37,50,52,43,54,58
75,64,91,81,47,72,82
98,31,57,95,94,59,86
72,88,97,46,65,75,59
84,97,47,82,68,61,99
63,70,81,76,96,43,58
89,61,47,98,76,50,52
81,33,43,47,95,91,87
54,85,35,57,38,97,90
50,89,78,93,70,30,97
92,49,76,71,98,75,58
38,55,53,59,52,46,49
87,90,99,98,51,87,92
61,80,88,86,41,70,46
78,66,50,88,99,48,70
53,91,52,78,40,54,90
85,65,55,81,68,66,62
39,30,58,67,49,97,38
56,43,44,61,89,60,42
100,71,91,41,57,90,86
97,48,77,74,64,99,54
89,67,91,41,58,90,94
67,43,78,89,78,45,76
43,53,37,36,57,87,84
32,32,66,52,97,80,97
41,47,63,62,90,49,96
60,63,97,93,80,47,50
91,89,60,65,57,46,92
64,69,93,79,61,84,100
87,37,58,48,83,54,50
99,67,77,98,31,32,96
51,100,68,63,94,95,89
72,45,91,78,36,48,44
80,76,91,94,73,80,85
58,73,91,95,96,83,88
48,31,62,76,95,76,89
77,92,80,78,36,70,31
90,59,48,97,67,96,86
96,51,91,83,76,98,86
49,73,79,76,93,97,88
100,41,59,38,72,86,72
78,42,82,72,58,35,65
64,86,35,63,54,46,61
91,88,94,57,68,86,98
93,63,99,78,80,42,100
47,99,89,77,74,61,83
74,74,37,66,91,62,77
46,85,94,63,65,32,100
60,75,38,58,40,32,30
32,73,63,76,56,95,100
92,92,51,45,39,31,91
85,37,87,66,67,79,68
64,49,44,80,49,79,68
69,84,98,100,48,90,31
82,36,39,66,73,76,56
87,45,91,37,97,84,65
33,45,96,84,91,97,86
33,92,92,47,58,61,90
30,33,80,38,63,63,61
42,69,54,92,52,81,92
73,95,73,51,36,31,97
47,97,37,74,44,81,95
59,71,40,55,45,38,47
84,82,90,48,85,82,88
37,37,77,62,99,70,35
77,32,53,98,73,92,89
55,56,90,43,72,45,82
58,90,90,61,41,91,90
60,59,97,66,56,32,47
60,74,96,62,46,87,91
89,76,64,93,32,48,49
